budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
Mystery Men,68000000.0,NA,Universal,29762011.0,3699000.0,Fantasy Comedy,PG,122,636.0,-0.5910000000000001,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6840.0,14610265.0,6,3330.0,-0.512,8,2105.0,-0.423,11,1460.0,-0.6509999999999999,20,1590.0,-0.159,18,990.0,-0.584,27,755.0,-0.425,32,715.0,-0.165,31,687.0,-0.315,36,NA,mastermind
Oblivion,120000000.0,[u'Joseph Kosinski'],Universal,89107235.0,197061337.0,Sci-Fi Adventure,PG-13,125,1105.0,-0.23500000000000001,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500.0,47287500.0,1,6035.0,-0.516,2,2221.0,-0.667,4,2330.0,-0.284,7,2090.0,-0.41100000000000003,8,2112.0,-0.624,10,1550.0,-0.542,16,1236.0,-0.335,20,1125.0,-0.212,22,"[u'Michael Arndt', u'Karl Gajdusek', u'Joseph Kosinski']",meninblack
Priest,60000000.0,[u'Scott Charles Stewart'],Sony / Screen Gems,29136626.0,49172505.0,Action Horror,PG-13,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6663.0,19083128.0,4,2262.0,-0.66,6,1447.0,-0.5720000000000001,11,987.0,-0.793,16,1060.0,-0.6890000000000001,28,635.0,-0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Cory Goodman'],meninblack2
RIPD,130000000.0,[u'Robert Schwentke'],Universal,33618855.0,44705365.0,Action / Adventure,PG-13,96,840.0,-0.231,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6485.0,18494980.0,7,3668.0,-0.48200000000000004,9,3481.0,-0.6409999999999999,15,1450.0,-0.798,22,1770.0,-0.538,30,1555.0,-0.131,35,1775.0,0.155,39,1120.0,-0.369,38,1005.0,-0.18600000000000003,42,"[u'Phil Hay', u'Matt Manfredi']",mib3
Richie Rich,40000000.0,NA,Warner Bros.,38087756.0,NA,Family Comedy,PG,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5695.0,9955678.0,7,7052.0,0.23800000000000002,3,2386.0,-0.659,8,1986.0,-0.21300000000000002,12,1099.0,-0.531,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monkeybone
Road to Perdition,80000000.0,[u'Sam Mendes'],DreamWorks,104454762.0,76546716.0,Crime Drama,R,119,1091.0,-0.29100000000000004,16,807.0,-0.5720000000000001,19,717.0,-0.542,26,586.0,-0.233,28,723.0,-0.5870000000000001,49,462.0,-0.5720000000000001,66,17748.0,31892275.0,2,10490.0,-0.29,2,7117.0,-0.29300000000000004,3,4082.0,-0.405,7,2908.0,-0.325,7,2825.0,-0.159,8,2090.0,-0.28,11,2304.0,0.043,9,1228.0,-0.5710000000000001,14,NA,mysterymen
Scott Pilgrim vs the World,60000000.0,[u'Edgar Wright'],Universal,31524275.0,16140284.0,Action Comedy,PG-13,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5570.0,15696285.0,5,2825.0,-0.493,10,2853.0,-0.545,14,2895.0,-0.355,18,1780.0,-0.528,17,1245.0,-0.5660000000000001,22,975.0,-0.525,35,825.0,-0.564,43,NA,NA,NA,"[u'Michael Bacall', u'Edgar Wright']",oblivion
Sin City,40000000.0,"[u'Frank Miller', u'Robert Rodriguez']",Dimension Films,74103820.0,84650000.0,Crime,R,125,883.0,-0.451,32,737.0,-0.376,46,707.0,-0.027000000000000003,51,844.0,-0.22100000000000003,57,833.0,2.79,36,782.0,-0.16,37,11334.0,36608243.0,1,5575.0,-0.508,2,2972.0,-0.504,4,2158.0,-0.433,7,1657.0,-0.454,9,1251.0,-0.546,14,1452.0,-0.603,19,1211.0,-0.543,23,1354.0,-0.358,32,[u'Frank Miller'],phantom
Sin City: A Dame to Kill For,NA,"[u'Frank Miller', u'Robert Rodriguez']",Weinstein / Dimension,13757804.0,25649812.0,Crime,R,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2969.0,8591561.0,8,1253.0,-0.578,14,899.0,-0.701,16,1139.0,-0.7140000000000001,31,1249.0,-0.75,46,631.0,-0.299,55,724.0,-0.693,70,NA,NA,NA,NA,NA,NA,[u'Frank Miller'],powerpuffgirls
Sky High,35000000.0,[u'Mike Mitchell'],Buena Vista,63946815.0,22423000.0,Family Adventure,PG,102,845.0,-0.501,27,1042.0,0.312,31,850.0,-0.341,33,755.0,-0.269,42,597.0,-0.365,47,789.0,0.075,47,7919.0,23003257.0,3,4872.0,-0.383,4,3434.0,-0.321,8,2698.0,-0.399,10,2198.0,-0.31,12,1839.0,-0.257,13,1096.0,-0.555,15,1192.0,-0.28300000000000003,15,1060.0,-0.41200000000000003,20,NA,powerrangers
Snowpiercer,NA,NA,Radius-TWC,4563650.0,82195262.0,Sci-Fi Action,R,126,1771.0,-0.132,62,1179.0,-0.239,68,1180.0,-0.166,70,774.0,-0.44200000000000006,79,607.0,-0.539,88,398.0,-0.278,85,2654.0,501519.0,25,5994.0,1.99,16,2813.0,-0.332,17,3318.0,-0.30100000000000005,24,2199.0,-0.532,34,1843.0,-0.43700000000000006,37,1681.0,-0.353,46,1689.0,-0.406,45,1531.0,-0.396,54,NA,priest07
Spawn,40000000.0,NA,New Line,54870175.0,32969867.0,Action Horror,PG-13,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10756.0,27277325.0,2,4960.0,-0.527,3,2870.0,-0.449,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,richierich
Super,2500000.0,[u'James Gunn'],IFC,327716.0,NA,Comedy,R,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5740.0,63145.0,48,2939.0,-0.302,50,2223.0,0.261,45,1851.0,0.266,47,1320.0,-0.268,57,864.0,-0.49700000000000005,64,541.0,-0.687,79,500.0,-0.321,89,NA,NA,NA,[u'James Gunn'],ripd
Superhero Movie,NA,[u'Craig Mazin'],MGM (Weinstein),25881068.0,45356283.0,Comedy,PG-13,85,798.0,-0.071,25,787.0,-0.435,37,752.0,-0.373,48,864.0,-0.33799999999999997,55,732.0,-0.37700000000000006,68,817.0,-0.196,70,3879.0,11481741.0,3,2228.0,-0.425,6,1547.0,-0.408,9,1089.0,-0.47600000000000003,12,922.0,-0.503,16,533.0,-0.758,26,647.0,-0.6559999999999999,46,530.0,-0.663,63,882.0,3.72,27,[u'Craig Mazin'],roadtoperdition
Surrogates,80000000.0,[u'Jonathan Mostow'],Buena Vista,38577772.0,83867000.0,Sci-Fi Action,PG-13,89,850.0,1.33,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6453.0,19043080.0,2,3190.0,-0.506,4,1990.0,-0.368,6,1106.0,-0.568,9,971.0,-0.6990000000000001,18,1043.0,-0.519,21,1057.0,-0.506,28,721.0,-0.604,43,1198.0,-0.21,51,NA,rocketeer
TMNT,34000000.0,[u'Kevin Munroe'],Warner Bros.,54149098.0,41459897.0,Animation,PG,90,770.0,-0.17,35,615.0,-0.445,37,612.0,-0.33,46,715.0,-0.217,50,NA,NA,NA,NA,NA,NA,9411.0,29268284.0,1,4011.0,-0.5720000000000001,4,2411.0,-0.45799999999999996,9,1513.0,-0.5860000000000001,15,1060.0,-0.5750000000000001,20,839.0,-0.5,22,554.0,-0.756,35,668.0,0.8590000000000001,28,658.0,-0.244,32,[u'Kevin Munroe'],scottpilgrim
Tank Girl ,25000000.0,NA,MGM,4064495.0,NA,Sci-Fi Comedy,R,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002.0,2684430.0,10,722.0,-0.633,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,secretservice
Teenage Mutant Ninja Turtles,13500000.0,NA,New Line,135265915.0,66700000.0,Family Adventure,PG,93,1452.0,-0.35600000000000004,7,1338.0,-0.177,7,1239.0,-0.32,9,1323.0,-0.142,11,NA,NA,NA,NA,NA,NA,16033.0,32162745.0,1,11983.0,-0.171,1,8593.0,-0.23399999999999999,1,4987.0,-0.42,1,3505.0,-0.297,2,2775.0,-0.22399999999999998,2,2133.0,-0.252,2,2131.0,-0.107,4,2035.0,-0.071,6,NA,shadow
Teenage Mutant Ninja Turtles (2014),125000000.0,[u'Jonathan Liebesman'],Paramount,191204754.0,302128830.0,Action / Adventure,PG-13,101,1174.0,-0.5,21,1821.0,0.34500000000000003,19,1545.0,-0.316,19,1520.0,-0.131,23,1574.0,-0.078,24,1096.0,-0.389,27,23210.0,89242236.0,1,9942.0,-0.557,1,5654.0,-0.44799999999999995,2,4937.0,-0.19899999999999998,2,2473.0,-0.537,2,2072.0,-0.24300000000000002,4,1433.0,-0.451,8,1149.0,-0.459,10,1207.0,-0.44700000000000006,15,"[u'Josh Appelbaum', u'Evan Daugherty', u'Andre Nemec']",sincity
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25000000.0,NA,New Line,78656813.0,NA,Family Adventure,PG,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9320.0,26728908.0,1,6807.0,-0.27,1,3322.0,-0.52,1,2617.0,-0.223,2,2041.0,-0.278,3,1265.0,-0.457,7,1060.0,-0.313,10,NA,NA,NA,NA,NA,NA,NA,sincity2
Teenage Mutant Ninja Turtles III,21000000.0,NA,New Line,42273609.0,NA,Family Adventure,PG,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7392.0,15427550.0,1,4227.0,-0.428,1,3084.0,-0.27,4,2173.0,-0.295,5,1189.0,-0.465,8,831.0,-0.47700000000000004,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skyhigh
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000.0,[u'Dave Green'],Paramount,81813539.0,157200000.0,Action / Adventure,PG-13,112,1485.0,-0.397,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11358.0,46239783.0,1,5033.0,-0.557,4,2588.0,-0.61,6,2070.0,-0.495,8,1859.0,-0.668,15,1714.0,-0.624,21,2084.0,-0.23199999999999998,26,1619.0,-0.521,30,2043.0,0.882,26,NA,snowpiercer
The Adventures of Tintin,NA,[u'Steven Spielberg'],Paramount,77591831.0,296402120.0,Animation,PG,101,1302.0,-0.434,27,1223.0,-0.258,30,1569.0,-0.087,33,879.0,-0.55,47,NA,NA,NA,NA,NA,NA,9080.0,28030964.0,5,6233.0,-0.314,7,2803.0,-0.562,8,3086.0,-0.24100000000000002,12,2106.0,-0.559,18,2407.0,-0.401,21,1887.0,-0.457,24,1828.0,-0.488,31,2064.0,0.331,25,"[u'Joe Cornish', u'Steven Moffat', u'Edgar Wright']",spawn
The Crow,NA,[u'Alex Proyas'],Miramax,50693129.0,NA,Action Horror,R,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7485.0,11774332.0,2,6854.0,0.233,2,3823.0,-0.444,5,3311.0,-0.26,6,2550.0,-0.443,9,1769.0,-0.45,12,1776.0,-0.304,13,NA,NA,NA,NA,NA,NA,NA,spirit09
The Crow:City of Angels,NA,[u'Tim Pope'],Miramax,17917287.0,NA,Action Horror,R,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4654.0,11276439.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'David S. Goyer'],super2011
The Diary of a Teenage Girl,NA,NA,Sony Classics,1477002.0,NA,Drama,R,102,661.0,-0.13,81,393.0,-0.621,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20599.0,82394.0,37,7376.0,0.97,34,3702.0,0.574,31,734.0,1.28,25,981.0,-0.5710000000000001,36,1093.0,-0.6990000000000001,48,1289.0,-0.573,64,952.0,-0.46799999999999997,71,1044.0,-0.512,89,NA,superexgirlfriend
The Green Hornet,120000000.0,[u'Michel Gondry'],Sony / Columbia,98780042.0,129037206.0,Action / Adventure,PG-13,108,1397.0,-0.30100000000000005,23,1269.0,-0.20800000000000002,NA,1044.0,-0.294,NA,827.0,-0.396,NA,571.0,-0.593,NA,NA,NA,NA,12651.0,45341243.0,1,6127.0,-0.516,2,3922.0,-0.371,5,2509.0,-0.449,5,2359.0,-0.35200000000000004,10,1827.0,-0.531,14,1269.0,-0.634,18,1054.0,-0.665,27,1822.0,0.9870000000000001,22,"[u'Evan Goldberg', u'Seth Rogen']",superheromovie
The Incredibles,92000000.0,[u'Brad Bird'],Buena Vista,261441092.0,370001000.0,Animation,PG,115,1546.0,-0.517,16,1700.0,-0.319,20,1096.0,-0.6070000000000001,23,1331.0,-0.17500000000000002,23,1049.0,-0.30100000000000005,25,986.0,-0.33299999999999996,30,23647.0,93004485.0,1,14754.0,-0.376,1,11492.0,-0.316,3,7567.0,-0.342,2,3365.0,-0.5910000000000001,4,2380.0,-0.409,6,3551.0,-0.027000000000000003,10,4323.0,0.217,12,3023.0,-0.308,12,[u'Brad Bird'],surrogates
The League of Extraordinary Gentlemen,78000000.0,NA,Fox,66465204.0,112800000.0,Period Adventure,PG-13,112,1104.0,-0.17,31,822.0,-0.384,42,795.0,-0.304,45,859.0,-0.24,53,763.0,-0.544,66,648.0,-0.439,78,10784.0,32374097.0,2,5157.0,-0.522,3,3094.0,-0.494,6,2465.0,-0.368,10,1752.0,-0.53,11,1536.0,-0.614,19,2055.0,-0.033,23,1931.0,-0.30100000000000005,28,1222.0,-0.43,31,NA,tankgirl
The Legend of Zorro,75000000.0,[u'Martin Campbell'],Sony / Columbia,46464023.0,95936042.0,Period Adventure,PG,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5764.0,20287644.0,2,3580.0,-0.379,4,2488.0,-0.397,7,4107.0,-0.585,13,1395.0,-0.66,18,872.0,-0.644,23,656.0,-0.6609999999999999,35,588.0,0.30100000000000005,31,NA,NA,NA,"[u'Ted Elliott', u'Alex Kurtzman', u'Roberto Orci', u'Terry Rossio']",teenagemutantninjaturtles
The Mask,23000000.0,NA,New Line,119938730.0,231644677.0,Comedy,PG-13,97,1133.0,-0.21,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15719.0,37096664.0,1,9534.0,-0.38200000000000006,2,6175.0,-0.337,3,4520.0,-0.252,3,2805.0,-0.379,4,2951.0,0.052000000000000005,4,1613.0,-0.528,5,1336.0,-0.315,6,1165.0,-0.188,7,NA,timecop
The Mask of Zorro,95000000.0,[u'Martin Campbell'],Sony / Columbia,94095523.0,156193000.0,Period Adventure,PG-13,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13461.0,33855235.0,1,7864.0,-0.41600000000000004,3,4970.0,-0.368,6,3505.0,-0.317,8,2703.0,-0.32799999999999996,11,2052.0,-0.46399999999999997,15,1776.0,-0.237,14,1972.0,0.019,13,1180.0,NA,50,"[u'Ted Elliott', u'Terry Rossio']",tintin
The Phantom,NA,[u'Simon Wincer'],Paramount,17323326.0,NA,Period Action,PG,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3286.0,7095004.0,6,2216.0,-0.324,7,1280.0,-0.47600000000000003,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmnt2013
The Powerpuff Girls Movie,11000000.0,NA,Warner Bros.,11412414.0,5014057.0,Animation,PG,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2332.0,5457482.0,8,1128.0,-0.543,16,1380.0,-0.788,23,959.0,-0.68,34,885.0,-0.7220000000000001,64,474.0,-0.7070000000000001,86,515.0,6.79,43,379.0,-0.664,69,NA,NA,NA,NA,tmnt2016
The Rocketeer,35000000.0,[u'Joe Johnston'],Buena Vista,46704056.0,NA,Period Action,PG,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8921.0,14417107.0,3,6049.0,-0.20199999999999999,5,4058.0,-0.335,6,2497.0,-0.433,10,2049.0,-0.4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmnt3
The Shadow,NA,[u'Russell Mulcahy'],Universal,32063435.0,16000000.0,Period Action,PG-13,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8700.0,14589900.0,3,4329.0,-0.47500000000000003,5,2176.0,-0.525,8,1541.0,-0.43200000000000005,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'David Koepp'],tmntcg
The Spirit,NA,[u'Frank Miller'],Lionsgate,19806188.0,19225149.0,Action Fantasy,PG-13,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4241.0,10641617.0,9,1756.0,-0.5860000000000001,12,738.0,-0.818,23,688.0,-0.856,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Frank Miller'],tnmt2
The X-Files: I Want to Believe,30000000.0,NA,Fox,20982478.0,47386956.0,Sci-Fi Thriller,PG-13,104,371.0,-0.519,81,336.0,-0.698,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4281.0,13635495.0,5,2336.0,-0.6459999999999999,11,2136.0,-0.628,13,1292.0,-0.8109999999999999,30,977.0,-0.53,41,1155.0,-0.318,44,651.0,-0.532,52,487.0,-0.37700000000000006,61,509.0,-0.196,68,NA,virus
Timecop,NA,[u'Peter Hyams'],Universal,44853581.0,56793000.0,Sci-Fi Action,R,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7035.0,15673750.0,1,4658.0,-0.337,1,3039.0,-0.335,3,1928.0,-0.379,6,1566.0,-0.459,12,1388.0,-0.395,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wanted
Virus,75000000.0,NA,Universal,14036005.0,16616000.0,Sci-Fi Horror,R,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3470.0,7002460.0,9,1905.0,-0.452,11,1059.0,-0.48700000000000004,15,761.0,-0.68,27,570.0,-0.8,41,761.0,0.485,37,563.0,-0.465,47,679.0,0.051,49,NA,NA,NA,NA,whiteout
Wanted,75000000.0,[u'Timur Bekmambetov'],Universal,134508551.0,206924701.0,Action / Adventure,R,108,1230.0,-0.259,36,890.0,-0.3,40,790.0,-0.28,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,22090.0,70136325.0,2,9520.0,-0.568,3,5635.0,-0.413,5,3140.0,-0.5710000000000001,8,2395.0,-0.451,10,2980.0,-0.573,14,2122.0,-0.395,17,1535.0,-0.479,22,1355.0,-0.452,32,[u'Chris Morgan'],xfiles2
Whiteout,35000000.0,[u'Dominic Sena'],Warner Bros.,10275638.0,7565229.0,Thriller,R,106,435.0,NA,39,221.0,-0.7090000000000001,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2340.0,6422590.0,6,1086.0,-0.536,11,562.0,-0.8009999999999999,22,513.0,-0.826,48,399.0,-0.42,55,456.0,-0.687,69,585.0,-0.531,88,411.0,-0.625,100,238.0,-0.493,113,"[u'Carey Hayes', u'Chad Hayes', u'Erich Hoeber', u'Jon Hoeber']",zoom
Zoom,NA,[u'Peter Hewitt'],Sony (Revolution),11989328.0,516860.0,Family Adventure,PG,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2642.0,6607544.0,9,1416.0,-0.46399999999999997,12,1050.0,-0.743,22,1208.0,-0.598,33,657.0,-0.612,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Adam Rifkin'],zorro2
